Report_Date,Client_No,Com_Type,Exch_Cd,Com_cd,Contract_Month,Strike_Price,Call_Put,Val_Date,Trade_Date,Buy_Sell,Traded_Qty,Traded_Price,Traded_Premium,Unrealised_pl_value,Nett_Option_Value,Cumulative_Swap,Settlement_Price,Settle_Curr_Cd,Org_Val_Date,User_Id,Tick_Value,CQ_Ord_No,Swap_Pt
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4677.00,,83.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059186001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4677.70,,76.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059185001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4681.10,,42.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059184001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4683.60,,17.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059191001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4683.60,,17.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059194001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4683.80,,15.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059192001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4683.80,,15.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059193001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4684.00,,13.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059196001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4684.40,,9.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059189001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4684.40,,9.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059190001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4684.40,,9.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059195001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4687.10,,-18.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059188001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4687.60,,-23.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059183001,
20260514,XOF8001,F,COMEX,MGC,Jun 26 ,,,,20260514,B,1,4689.10,,-38.00,0.00,,4685.3,USD,,SMCTFEX_IFSC,10.00000,20260514F059182001,
20260514,XOF8001,F,COMEX,SIL,Jul 26 ,,,,20260514,B,1,87.280,,-1952.00,0.00,,85.328,USD,,SMCTFEX_IFSC,1000.00000,20260514F059204001,
20260514,XOF8001,F,COMEX,SIL,Jul 26 ,,,,20260514,B,1,87.300,,-1972.00,0.00,,85.328,USD,,SMCTFEX_IFSC,1000.00000,20260514F059202001,
20260514,XOF8001,F,COMEX,SIL,Jul 26 ,,,,20260514,B,1,87.380,,-2052.00,0.00,,85.328,USD,,SMCTFEX_IFSC,1000.00000,20260514F059203001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4705.10,,-8670.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059306001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4705.60,,-8520.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059305001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4706.30,,-8310.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059304001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4709.70,,-7290.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059303001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4711.90,,-6630.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059311001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4711.90,,-6630.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059314001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.10,,-6570.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059312001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.10,,-6570.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059313001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.20,,-6540.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059317001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.30,,-6510.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059316001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.70,,-6390.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059310001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.70,,-6390.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059315001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4712.80,,-6360.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059309001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4715.40,,-5580.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059308001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4716.20,,-5340.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059302001,
20260514,XOF8001,F,TFEX,GO,Jun 26 ,,,,20260514,S,1,4719.40,,-4380.00,0.00,,4734,THB,,SMCTFEX_IFSC,300.00000,20260514F059300001,
20260514,XOF8001,F,TFEX,SVF,Jun 26 ,,,,20260514,S,7,87.47,,-11760.00,0.00,,88.03,THB,,SMCTFEX_IFSC,3000.00000,20260514F059343001,
20260514,XOF8001,F,TFEX,SVF,Jun 26 ,,,,20260514,S,2,87.47,,-3360.00,0.00,,88.03,THB,,SMCTFEX_IFSC,3000.00000,20260514F059344001,
20260514,XOF8001,F,TFEX,SVF,Jun 26 ,,,,20260514,S,1,87.47,,-1680.00,0.00,,88.03,THB,,SMCTFEX_IFSC,3000.00000,20260514F059345001,
20260514,XOF8001,F,TFEX,SVF,Jun 26 ,,,,20260514,S,1,87.53,,-1500.00,0.00,,88.03,THB,,SMCTFEX_IFSC,3000.00000,20260514F059342001,
20260514,XOF8001,F,TFEX,SVF,Sep 26 ,,,,20260514,S,9,88.80,,-16740.00,0.00,,89.42,THB,,SMCTFEX_IFSC,3000.00000,20260514F059350001,
20260514,XOF8001,F,TFEX,SVF,Sep 26 ,,,,20260514,S,1,88.80,,-1860.00,0.00,,89.42,THB,,SMCTFEX_IFSC,3000.00000,20260514F059351001,
20260514,XOF8001,F,TFEX,SVF,Sep 26 ,,,,20260514,S,1,88.90,,-1560.00,0.00,,89.42,THB,,SMCTFEX_IFSC,3000.00000,20260514F059348001,
20260514,XOF8001,F,TFEX,SVF,Sep 26 ,,,,20260514,S,9,88.91,,-13770.00,0.00,,89.42,THB,,SMCTFEX_IFSC,3000.00000,20260514F059347001,
